Order_ID,Date,Sales,Category,Sub_Category,Region,Quantity,Discount,Profit
CA-2021-10151,2021-03-12,516.03,Office Supplies,Binders,South,11,0.1,55.73
CA-2021-10152,2021-03-13,338.86,Furniture,Chairs,East,7,0.0,83.91
CA-2021-10153,2021-03-13,304.7,Furniture,Furnishings,West,3,0.2,45.94
CA-2021-10154,2021-03-13,133.89,Office Supplies,Storage,East,4,0.2,31.36
CA-2021-10155,2021-03-14,148.89,Technology,Machines,West,3,0.2,18.31
CA-2021-10156,2021-03-14,352.88,Technology,Machines,Central,3,0.15,87.97
CA-2021-10157,2021-03-14,272.95,Technology,Phones,Central,4,0.1,47.72
CA-2021-10158,2021-03-15,474.8,Furniture,Chairs,East,4,0.2,79.27
CA-2021-10159,2021-03-16,618.57,Technology,Accessories,West,6,0.15,88.4
CA-2021-10160,2021-03-17,236.23,Technology,Phones,Central,7,0.2,60.14
CA-2021-10161,2021-03-17,13.94,Technology,Phones,East,1,0.1,2.89
CA-2021-10162,2021-03-17,284.35,Furniture,Tables,East,2,0.15,78.92
CA-2021-10163,2021-03-18,269.06,Technology,Phones,Central,4,0.2,27.73
CA-2021-10164,2021-03-18,212.52,Technology,Copiers,East,2,0.1,19.33
CA-2021-10165,2021-03-18,124.41,Technology,Accessories,Central,1,0.0,26.13
CA-2021-10166,2021-03-19,154.24,Technology,Machines,West,1,0.2,30.0
CA-2021-10167,2021-03-19,123.01,Furniture,Furnishings,East,1,0.0,25.24
CA-2021-10168,2021-03-19,405.58,Furniture,Tables,South,8,0.15,69.92
CA-2021-10169,2021-03-20,382.21,Furniture,Chairs,West,4,0.0,74.97
CA-2021-10170,2021-03-20,50.17,Technology,Phones,West,1,0.15,8.24
CA-2021-10171,2021-03-20,284.92,Furniture,Chairs,West,13,0.0,43.0
CA-2021-10172,2021-03-21,378.94,Furniture,Chairs,South,16,0.1,33.73
CA-2021-10173,2021-03-21,248.63,Technology,Phones,East,2,0.2,67.45
CA-2021-10174,2021-03-22,300.63,Technology,Accessories,East,2,0.15,83.65
CA-2021-10175,2021-03-22,160.59,Technology,Machines,South,1,0.1,32.37
CA-2021-10176,2021-03-23,648.32,Technology,Accessories,East,13,0.0,175.99
CA-2021-10177,2021-03-24,387.79,Technology,Machines,West,4,0.15,61.75
CA-2021-10178,2021-03-24,240.04,Office Supplies,Binders,West,1,0.15,58.37
CA-2021-10179,2021-03-25,262.7,Furniture,Chairs,South,2,0.1,45.05
CA-2021-10180,2021-03-25,371.11,Technology,Copiers,South,4,0.15,100.62
CA-2021-10181,2021-03-26,714.08,Technology,Accessories,South,13,0.1,94.22
CA-2021-10182,2021-03-27,815.75,Office Supplies,Appliances,South,23,0.2,77.68
CA-2021-10183,2021-03-28,257.23,Office Supplies,Storage,East,4,0.1,47.4
CA-2021-10184,2021-03-28,499.04,Furniture,Bookcases,Central,12,0.0,123.46
CA-2021-10185,2021-03-29,591.59,Technology,Copiers,West,13,0.0,151.55
CA-2021-10186,2021-03-30,58.65,Office Supplies,Appliances,East,1,0.1,8.06
CA-2021-10187,2021-03-30,540.84,Office Supplies,Storage,East,5,0.2,71.37
CA-2021-10188,2021-03-30,0.25,Furniture,Bookcases,South,1,0.1,0.02
CA-2021-10189,2021-03-31,625.72,Technology,Machines,South,14,0.0,62.89
CA-2021-10190,2021-04-01,594.03,Office Supplies,Paper,West,7,0.1,121.29
CA-2021-10191,2021-04-01,36.73,Technology,Accessories,West,1,0.15,10.06
CA-2021-10192,2021-04-02,65.86,Technology,Phones,West,1,0.2,15.42
CA-2021-10193,2021-04-02,671.02,Office Supplies,Binders,West,12,0.0,180.41
CA-2021-10194,2021-04-02,11.76,Technology,Phones,East,1,0.15,2.88
CA-2021-10195,2021-04-03,403.18,Furniture,Tables,South,16,0.0,108.34
CA-2021-10196,2021-04-03,375.55,Furniture,Bookcases,South,5,0.0,63.26
CA-2021-10197,2021-04-03,112.79,Technology,Phones,West,1,0.15,25.85
CA-2021-10198,2021-04-04,15.06,Technology,Machines,South,1,0.2,1.76
CA-2021-10199,2021-04-04,502.26,Furniture,Chairs,East,12,0.15,125.04
CA-2021-10200,2021-04-04,218.93,Technology,Copiers,East,5,0.0,57.44
CA-2021-10201,2021-04-05,639.69,Furniture,Furnishings,Central,6,0.0,85.59
CA-2021-10202,2021-04-06,626.84,Office Supplies,Binders,West,4,0.1,86.71
CA-2021-10203,2021-04-06,24.43,Furniture,Chairs,East,1,0.0,2.15
CA-2021-10204,2021-04-06,94.2,Office Supplies,Storage,South,2,0.2,26.12
CA-2021-10205,2021-04-07,226.62,Office Supplies,Art,East,2,0.0,58.13
CA-2021-10206,2021-04-07,407.51,Office Supplies,Paper,East,13,0.1,58.85
CA-2021-10207,2021-04-08,229.03,Office Supplies,Binders,West,5,0.0,61.91
CA-2021-10208,2021-04-08,319.51,Furniture,Bookcases,Central,13,0.1,64.96
CA-2021-10209,2021-04-09,234.64,Technology,Copiers,Central,7,0.2,44.72
CA-2021-10210,2021-04-09,365.67,Office Supplies,Binders,West,4,0.15,32.23
CA-2021-10211,2021-04-10,284.83,Technology,Machines,East,3,0.15,35.27
CA-2021-10212,2021-04-10,636.6,Technology,Accessories,South,5,0.0,151.47
CA-2021-10213,2021-04-11,15.69,Furniture,Furnishings,South,1,0.15,1.51
CA-2021-10214,2021-04-11,788.23,Technology,Copiers,East,26,0.15,95.15
CA-2021-10215,2021-04-12,108.88,Furniture,Furnishings,South,1,0.2,16.79
CA-2021-10216,2021-04-12,355.37,Office Supplies,Paper,Central,3,0.2,30.52
CA-2021-10217,2021-04-12,227.72,Office Supplies,Art,West,2,0.2,37.42
CA-2021-10218,2021-04-13,335.7,Office Supplies,Appliances,Central,6,0.1,74.92
CA-2021-10219,2021-04-13,365.35,Office Supplies,Binders,South,5,0.1,42.45
CA-2021-10220,2021-04-14,529.22,Furniture,Tables,West,3,0.15,105.09
CA-2021-10221,2021-04-15,34.22,Office Supplies,Storage,East,1,0.0,8.03
CA-2021-10222,2021-04-15,95.07,Furniture,Bookcases,Central,1,0.1,9.0
CA-2021-10223,2021-04-15,668.33,Office Supplies,Binders,East,10,0.1,72.95
CA-2021-10224,2021-04-16,836.6,Technology,Machines,East,15,0.1,94.97
CA-2021-10225,2021-04-17,825.0,Technology,Copiers,West,17,0.0,71.64
CA-2021-10226,2021-04-18,74.49,Office Supplies,Appliances,East,2,0.1,8.64
CA-2021-10227,2021-04-18,960.0,Technology,Phones,East,11,0.1,208.94
CA-2021-10228,2021-04-19,0.65,Furniture,Bookcases,Central,1,0.15,0.12
CA-2021-10229,2021-04-19,398.08,Office Supplies,Art,Central,16,0.0,43.27
CA-2021-10230,2021-04-19,133.79,Office Supplies,Binders,South,1,0.1,15.74
CA-2021-10231,2021-04-20,140.92,Office Supplies,Binders,East,1,0.1,21.82
CA-2021-10232,2021-04-20,74.02,Office Supplies,Binders,West,1,0.2,18.72
CA-2021-10233,2021-04-20,255.69,Furniture,Furnishings,Central,1,0.1,67.44
CA-2021-10234,2021-04-21,231.69,Office Supplies,Art,West,1,0.1,33.28
CA-2021-10235,2021-04-21,487.47,Furniture,Chairs,East,3,0.0,47.82
CA-2021-10236,2021-04-22,230.96,Office Supplies,Art,West,3,0.1,53.69
CA-2021-10237,2021-04-22,363.02,Furniture,Bookcases,Central,2,0.0,37.77
CA-2021-10238,2021-04-22,89.16,Office Supplies,Paper,East,1,0.2,18.01
CA-2021-10239,2021-04-23,587.27,Furniture,Furnishings,East,7,0.1,55.58
CA-2021-10240,2021-04-24,69.38,Furniture,Bookcases,East,1,0.2,17.31
CA-2021-10241,2021-04-24,386.97,Furniture,Chairs,West,11,0.0,61.82
CA-2021-10242,2021-04-24,535.75,Furniture,Bookcases,South,6,0.15,124.82
CA-2021-10243,2021-04-25,220.96,Technology,Phones,South,1,0.2,58.64
CA-2021-10244,2021-04-25,518.44,Technology,Machines,East,6,0.15,51.99
CA-2021-10245,2021-04-25,169.09,Furniture,Furnishings,South,1,0.1,23.92
CA-2021-10246,2021-04-26,281.13,Office Supplies,Binders,West,5,0.2,68.77
CA-2021-10247,2021-04-26,321.78,Office Supplies,Storage,Central,2,0.1,77.21
CA-2021-10248,2021-04-26,34.74,Technology,Copiers,Central,1,0.1,4.07
CA-2021-10249,2021-04-27,451.04,Furniture,Tables,Central,3,0.15,93.63
CA-2021-10250,2021-04-27,219.76,Furniture,Tables,South,4,0.0,46.0
CA-2021-10251,2021-04-28,119.41,Furniture,Tables,Central,1,0.1,27.03
CA-2021-10252,2021-04-28,630.64,Technology,Accessories,East,19,0.2,69.33
CA-2021-10253,2021-04-29,592.54,Office Supplies,Paper,Central,6,0.1,50.2
CA-2021-10254,2021-04-30,133.24,Furniture,Tables,East,1,0.1,14.44
CA-2021-10255,2021-04-30,117.57,Technology,Copiers,East,1,0.1,19.47
CA-2021-10256,2021-04-30,517.31,Technology,Phones,East,23,0.2,54.67
CA-2021-10257,2021-05-01,571.54,Furniture,Chairs,South,12,0.2,87.67
CA-2021-10258,2021-05-01,358.79,Office Supplies,Paper,Central,12,0.0,88.4
CA-2021-10259,2021-05-02,810.07,Furniture,Furnishings,West,8,0.15,151.15
CA-2021-10260,2021-05-03,51.5,Office Supplies,Paper,Central,1,0.1,7.56
CA-2021-10261,2021-05-03,455.61,Office Supplies,Art,West,3,0.0,94.31
CA-2021-10262,2021-05-04,121.66,Furniture,Bookcases,South,6,0.2,25.91
CA-2021-10263,2021-05-04,416.27,Technology,Machines,West,8,0.2,114.4
CA-2021-10264,2021-05-04,55.15,Office Supplies,Appliances,South,1,0.2,7.1
CA-2021-10265,2021-05-05,40.02,Furniture,Chairs,South,1,0.2,8.88
CA-2021-10266,2021-05-05,603.53,Office Supplies,Art,East,12,0.0,91.75
CA-2021-10267,2021-05-06,722.55,Furniture,Chairs,East,12,0.2,98.22
CA-2021-10268,2021-05-07,589.62,Technology,Phones,West,6,0.0,92.05
CA-2021-10269,2021-05-07,231.88,Office Supplies,Storage,South,4,0.1,22.3
CA-2021-10270,2021-05-07,28.44,Furniture,Bookcases,West,1,0.15,4.24
CA-2021-10271,2021-05-08,318.37,Furniture,Chairs,West,5,0.15,56.48
CA-2021-10272,2021-05-08,537.27,Office Supplies,Appliances,South,6,0.0,131.65
CA-2021-10273,2021-05-09,796.17,Furniture,Bookcases,South,26,0.2,217.48
CA-2021-10274,2021-05-10,625.49,Office Supplies,Appliances,South,4,0.2,77.06
CA-2021-10275,2021-05-11,266.98,Furniture,Tables,West,1,0.0,54.44
CA-2021-10276,2021-05-11,454.22,Technology,Phones,Central,8,0.15,43.12
CA-2021-10277,2021-05-11,116.37,Office Supplies,Storage,Central,1,0.2,23.69
CA-2021-10278,2021-05-12,272.87,Furniture,Furnishings,South,3,0.15,61.36
CA-2021-10279,2021-05-12,277.99,Furniture,Furnishings,Central,3,0.0,41.93
CA-2021-10280,2021-05-12,261.91,Technology,Machines,West,2,0.0,41.23
CA-2021-10281,2021-05-13,120.16,Office Supplies,Appliances,East,1,0.1,15.41
CA-2021-10282,2021-05-13,570.48,Furniture,Chairs,West,20,0.2,101.3
CA-2021-10283,2021-05-14,108.47,Technology,Phones,West,2,0.1,15.72
CA-2021-10284,2021-05-14,364.56,Office Supplies,Storage,East,3,0.0,62.66
CA-2021-10285,2021-05-14,242.81,Furniture,Tables,East,6,0.2,57.64
CA-2021-10286,2021-05-15,1054.23,Office Supplies,Binders,South,7,0.0,258.31
CA-2021-10287,2021-05-16,191.61,Technology,Phones,South,2,0.0,21.08
CA-2021-10288,2021-05-16,401.21,Furniture,Bookcases,East,15,0.2,38.9
CA-2021-10289,2021-05-16,180.14,Technology,Phones,East,1,0.15,14.85
CA-2021-10290,2021-05-17,227.54,Technology,Copiers,West,6,0.1,56.0
CA-2021-10291,2021-05-17,183.79,Office Supplies,Art,East,3,0.2,23.08
CA-2021-10292,2021-05-17,98.68,Furniture,Tables,Central,2,0.0,12.94
CA-2021-10293,2021-05-18,13.83,Technology,Accessories,Central,1,0.0,1.45
CA-2021-10294,2021-05-18,619.48,Technology,Machines,West,6,0.0,163.58
CA-2021-10295,2021-05-19,229.73,Office Supplies,Paper,East,3,0.1,38.57
CA-2021-10296,2021-05-19,691.97,Furniture,Tables,West,12,0.2,72.17
CA-2021-10297,2021-05-20,463.3,Office Supplies,Paper,South,3,0.1,96.0
CA-2021-10298,2021-05-20,220.61,Office Supplies,Appliances,West,1,0.2,42.26
CA-2021-10299,2021-05-20,71.58,Technology,Machines,South,1,0.1,16.51
CA-2021-10300,2021-05-21,857.48,Furniture,Chairs,Central,26,0.1,105.21
CA-2021-10301,2021-05-22,108.93,Furniture,Chairs,East,1,0.15,11.02
CA-2021-10302,2021-05-22,279.57,Technology,Phones,West,2,0.15,71.41
CA-2021-10303,2021-05-22,355.81,Furniture,Bookcases,South,4,0.2,86.23
CA-2021-10304,2021-05-23,209.81,Office Supplies,Appliances,South,1,0.15,24.67
CA-2021-10305,2021-05-23,657.98,Furniture,Furnishings,East,7,0.2,53.33
CA-2021-10306,2021-05-23,93.27,Office Supplies,Binders,West,1,0.1,11.24
CA-2021-10307,2021-05-24,355.84,Technology,Copiers,Central,4,0.15,99.37
CA-2021-10308,2021-05-24,283.94,Technology,Phones,South,2,0.2,35.05
CA-2021-10309,2021-05-25,756.06,Office Supplies,Art,South,6,0.2,121.32
CA-2021-10310,2021-05-25,2.05,Technology,Machines,East,1,0.2,0.21
CA-2021-10311,2021-05-26,324.67,Office Supplies,Binders,West,2,0.15,27.46
CA-2021-10312,2021-05-26,323.93,Technology,Phones,Central,10,0.1,70.97
CA-2021-10313,2021-05-27,394.59,Technology,Phones,West,5,0.0,78.78
CA-2021-10314,2021-05-27,108.5,Technology,Copiers,Central,1,0.1,22.62
CA-2021-10315,2021-05-27,270.54,Furniture,Tables,South,3,0.15,28.05
CA-2021-10316,2021-05-28,608.5,Technology,Phones,West,6,0.0,117.51
CA-2021-10317,2021-05-28,177.12,Office Supplies,Binders,Central,7,0.0,34.92
CA-2021-10318,2021-05-29,115.78,Office Supplies,Binders,Central,1,0.2,13.57
CA-2021-10319,2021-05-29,921.63,Furniture,Chairs,West,6,0.2,98.33
CA-2021-10320,2021-05-29,97.93,Office Supplies,Binders,Central,1,0.0,7.97
CA-2021-10321,2021-05-30,989.48,Furniture,Bookcases,South,9,0.2,81.81
CA-2021-10322,2021-05-31,124.73,Office Supplies,Paper,East,2,0.0,22.14
CA-2021-10323,2021-05-31,559.88,Technology,Machines,West,4,0.0,83.53
CA-2021-10324,2021-06-01,369.88,Technology,Copiers,West,3,0.15,100.86
CA-2021-10325,2021-06-01,298.08,Technology,Machines,Central,4,0.1,48.81
CA-2021-10326,2021-06-02,775.14,Technology,Accessories,East,8,0.15,109.87
CA-2021-10327,2021-06-02,31.21,Furniture,Furnishings,South,1,0.0,2.63
CA-2021-10328,2021-06-03,648.93,Office Supplies,Paper,Central,5,0.0,119.84
CA-2021-10329,2021-06-04,369.2,Office Supplies,Binders,East,4,0.0,99.37
CA-2021-10330,2021-06-04,440.24,Furniture,Tables,West,5,0.2,75.74
