Date,Sales,Quantity,Category
2024-07-02,946.93,19,Clothing
2024-07-03,930.09,21,Home
2024-07-04,833.51,20,Clothing
2024-07-05,750.02,27,Home
2024-07-06,674.74,18,Clothing
2024-07-07,649.01,18,Office
2024-07-08,681.15,21,Clothing
2024-07-09,823.97,18,Office
2024-07-10,926.74,23,Electronics
2024-07-11,834.68,30,Office
2024-07-12,657.84,21,Clothing
2024-07-13,695.47,15,Clothing
2024-07-14,718.95,26,Electronics
2024-07-15,697.69,14,Electronics
2024-07-16,825.32,21,Electronics
2024-07-17,825.73,21,Office
2024-07-18,688.07,16,Clothing
2024-07-19,697.0,14,Electronics
2024-07-20,651.79,18,Office
2024-07-21,694.66,15,Clothing
2024-07-22,756.29,18,Office
2024-07-23,663.7,20,Office
2024-07-24,706.92,14,Office
2024-07-25,752.2,15,Office
2024-07-26,675.89,15,Home
2024-07-27,631.4,12,Office
2024-07-28,871.96,17,Office
2024-07-29,737.1,16,Clothing
2024-07-30,853.8,17,Office
2024-07-31,870.15,19,Clothing
2024-08-01,813.27,18,Electronics
2024-08-02,684.06,16,Home
2024-08-03,716.67,15,Electronics
2024-08-04,645.26,22,Electronics
2024-08-05,760.09,15,Office
2024-08-06,822.4,16,Clothing
2024-08-07,882.88,34,Electronics
2024-08-08,983.44,20,Home
2024-08-09,635.38,22,Clothing
2024-08-10,752.21,21,Electronics
2024-08-11,617.4,13,Office
2024-08-12,757.01,25,Office
2024-08-13,1042.0,21,Office
2024-08-14,984.32,20,Electronics
2024-08-15,851.69,21,Home
2024-08-16,786.62,31,Clothing
2024-08-17,817.71,24,Office
2024-08-18,612.67,14,Electronics
2024-08-19,734.41,13,Clothing
2024-08-20,784.54,18,Electronics
2024-08-21,748.91,23,Office
2024-08-22,876.02,20,Electronics
2024-08-23,695.92,17,Clothing
2024-08-24,472.77,10,Home
2024-08-25,634.61,22,Home
2024-08-26,652.85,14,Electronics
2024-08-27,826.84,20,Home
2024-08-28,744.5,14,Clothing
2024-08-29,748.76,21,Clothing
2024-08-30,721.2,16,Home
2024-08-31,707.14,13,Home
2024-09-01,601.89,21,Office
2024-09-02,740.19,14,Clothing
2024-09-03,812.61,18,Office
2024-09-04,828.65,31,Home
2024-09-05,946.09,28,Home
2024-09-06,786.76,17,Office
2024-09-07,634.99,24,Electronics
2024-09-08,796.99,19,Office
2024-09-09,946.34,27,Home
2024-09-10,944.26,22,Clothing
2024-09-11,791.92,30,Electronics
2024-09-12,804.6,16,Office
2024-09-13,832.64,15,Home
2024-09-14,646.46,12,Office
2024-09-15,728.52,15,Electronics
2024-09-16,809.62,28,Office
2024-09-17,758.5,16,Office
2024-09-18,821.73,32,Office
2024-09-19,556.52,22,Office
2024-09-20,614.06,18,Office
2024-09-21,608.7,15,Clothing
2024-09-22,556.49,12,Home
2024-09-23,811.31,18,Clothing
2024-09-24,682.15,18,Home
2024-09-25,765.75,23,Electronics
2024-09-26,758.28,14,Electronics
2024-09-27,891.6,24,Home
2024-09-28,663.99,17,Clothing
2024-09-29,859.93,29,Office
2024-09-30,866.13,18,Clothing
2024-10-01,883.51,19,Office
2024-10-02,886.45,28,Home
2024-10-03,832.14,30,Electronics
2024-10-04,712.86,16,Home
2024-10-05,717.35,16,Home
2024-10-06,713.24,21,Electronics
2024-10-07,822.26,15,Electronics
2024-10-08,932.41,32,Office
2024-10-09,1011.71,27,Office
2024-10-10,779.0,15,Clothing
2024-10-11,917.26,24,Clothing
2024-10-12,598.13,14,Office
2024-10-13,725.69,20,Home
2024-10-14,835.7,25,Office
2024-10-15,876.39,16,Clothing
2024-10-16,824.5,22,Electronics
2024-10-17,791.87,15,Home
2024-10-18,684.49,21,Clothing
2024-10-19,619.36,20,Home
2024-10-20,721.14,28,Office
2024-10-21,751.79,17,Office
2024-10-22,748.01,21,Electronics
2024-10-23,865.05,17,Home
2024-10-24,776.24,20,Home
2024-10-25,731.71,14,Electronics
2024-10-26,674.11,22,Electronics
2024-10-27,601.89,12,Clothing
2024-10-28,696.92,14,Home
2024-10-29,861.18,18,Office
2024-10-30,879.91,17,Home
2024-10-31,801.37,17,Clothing
2024-11-01,743.92,17,Home
2024-11-02,782.31,27,Home
2024-11-03,689.37,27,Clothing
2024-11-04,844.0,16,Clothing
2024-11-05,874.57,20,Electronics
2024-11-06,898.14,18,Clothing
2024-11-07,940.23,24,Home
2024-11-08,847.37,30,Home
2024-11-09,798.6,28,Electronics
2024-11-10,846.34,19,Electronics
2024-11-11,949.36,25,Office
2024-11-12,1056.79,34,Home
2024-11-13,1001.98,25,Home
2024-11-14,985.4,37,Office
2024-11-15,867.59,20,Clothing
2024-11-16,702.9,21,Electronics
2024-11-17,741.77,15,Office
2024-11-18,709.74,21,Electronics
2024-11-19,959.59,25,Clothing
2024-11-20,767.12,30,Office
2024-11-21,698.06,26,Clothing
2024-11-22,769.25,21,Electronics
2024-11-23,693.99,18,Electronics
2024-11-24,700.02,16,Home
2024-11-25,772.52,23,Home
2024-11-26,805.37,18,Electronics
2024-11-27,771.46,15,Clothing
2024-11-28,794.11,16,Electronics
2024-11-29,676.69,26,Home
2024-11-30,746.17,19,Clothing
2024-12-01,702.09,25,Home
2024-12-02,740.08,23,Clothing
2024-12-03,854.69,16,Electronics
2024-12-04,930.58,32,Home
2024-12-05,828.03,21,Electronics
2024-12-06,741.22,17,Electronics
2024-12-07,768.05,17,Clothing
2024-12-08,789.64,19,Electronics
2024-12-09,812.99,32,Office
2024-12-10,885.23,25,Home
2024-12-11,945.56,23,Home
2024-12-12,782.75,28,Clothing
2024-12-13,700.45,20,Electronics
2024-12-14,688.09,26,Office
2024-12-15,728.59,27,Clothing
2024-12-16,822.51,22,Office
2024-12-17,957.68,33,Clothing
2024-12-18,924.14,22,Electronics
2024-12-19,799.13,17,Home
2024-12-20,721.06,15,Home
2024-12-21,600.75,19,Office
2024-12-22,676.19,23,Clothing
2024-12-23,725.14,26,Home
2024-12-24,833.63,19,Office
2024-12-25,776.96,17,Electronics
2024-12-26,938.81,36,Office
2024-12-27,931.78,18,Home
2024-12-28,783.59,30,Clothing
2024-12-29,843.06,20,Office
2024-12-30,942.42,20,Home
2024-12-31,833.04,16,Electronics
2025-01-01,902.72,19,Electronics
2025-01-02,851.94,17,Electronics
2025-01-03,790.56,22,Home
2025-01-04,695.52,14,Clothing
2025-01-05,773.65,28,Office
2025-01-06,881.99,17,Office
2025-01-07,1019.51,25,Electronics
2025-01-08,1007.93,20,Clothing
2025-01-09,1037.54,27,Office
2025-01-10,767.99,17,Electronics
2025-01-11,822.03,20,Office
2025-01-12,788.72,17,Office
2025-01-13,981.81,36,Electronics
2025-01-14,848.17,32,Home
2025-01-15,853.33,26,Home
2025-01-16,809.5,27,Electronics
2025-01-17,621.42,12,Clothing
2025-01-18,666.08,21,Clothing
2025-01-19,658.58,12,Office
2025-01-20,779.61,22,Home
2025-01-21,855.58,28,Home
2025-01-22,967.79,20,Office
2025-01-23,856.17,19,Office
2025-01-24,678.33,17,Electronics
2025-01-25,610.6,15,Office
2025-01-26,722.48,16,Clothing
2025-01-27,681.29,21,Home
2025-01-28,964.61,18,Electronics
2025-01-29,949.23,17,Clothing
2025-01-30,804.16,18,Electronics
2025-01-31,656.68,21,Home
2025-02-01,819.06,18,Electronics
2025-02-02,752.48,28,Home
2025-02-03,921.52,36,Clothing
2025-02-04,817.42,25,Office
2025-02-05,907.57,23,Electronics
2025-02-06,904.41,18,Clothing
2025-02-07,833.15,18,Clothing
2025-02-08,754.01,16,Clothing
2025-02-09,960.67,25,Electronics
2025-02-10,918.4,26,Home
2025-02-11,1044.0,29,Clothing
2025-02-12,1071.62,20,Clothing
2025-02-13,1040.09,40,Electronics
2025-02-14,845.1,17,Electronics
2025-02-15,666.52,16,Home
2025-02-16,646.4,17,Clothing
2025-02-17,888.77,19,Office
2025-02-18,887.51,22,Home
2025-02-19,825.51,16,Electronics
2025-02-20,918.6,18,Office
2025-02-21,741.29,20,Clothing
2025-02-22,757.88,23,Home
2025-02-23,701.38,16,Clothing
2025-02-24,902.01,17,Clothing
2025-02-25,955.53,31,Electronics
2025-02-26,847.83,19,Office
2025-02-27,885.67,20,Home
2025-02-28,795.28,17,Clothing
2025-03-01,803.85,28,Office
2025-03-02,680.73,15,Office
2025-03-03,870.07,17,Clothing
2025-03-04,976.3,32,Home
2025-03-05,821.75,26,Clothing
2025-03-06,820.72,15,Office
2025-03-07,695.89,23,Electronics
2025-03-08,769.43,15,Office
2025-03-09,856.17,22,Clothing
2025-03-10,980.55,30,Home
2025-03-11,958.78,19,Clothing
2025-03-12,1075.59,28,Clothing
2025-03-13,827.48,20,Home
2025-03-14,722.46,20,Clothing
2025-03-15,773.19,18,Electronics
2025-03-16,810.01,27,Electronics
2025-03-17,843.11,23,Electronics
2025-03-18,770.46,14,Clothing
2025-03-19,905.54,28,Office
2025-03-20,767.32,17,Electronics
2025-03-21,807.84,23,Home
2025-03-22,730.99,15,Office
2025-03-23,656.61,23,Electronics
2025-03-24,749.76,14,Clothing
2025-03-25,781.93,20,Clothing
2025-03-26,983.62,31,Office
2025-03-27,1002.95,37,Clothing
2025-03-28,802.82,27,Home
2025-03-29,857.19,21,Clothing
2025-03-30,815.44,23,Office
2025-03-31,758.36,15,Office
2025-04-01,884.08,23,Electronics
2025-04-02,852.61,26,Clothing
2025-04-03,846.94,19,Home
2025-04-04,738.44,16,Electronics
2025-04-05,906.09,30,Electronics
2025-04-06,807.69,27,Office
2025-04-07,838.37,32,Office
2025-04-08,974.36,21,Office
2025-04-09,974.66,22,Clothing
2025-04-10,920.76,23,Electronics
2025-04-11,896.49,18,Office
2025-04-12,854.36,17,Electronics
2025-04-13,783.11,18,Clothing
2025-04-14,843.7,17,Clothing
2025-04-15,925.16,30,Office
2025-04-16,801.08,28,Office
2025-04-17,793.0,24,Home
2025-04-18,891.35,33,Home
2025-04-19,849.97,21,Clothing
2025-04-20,734.06,14,Home
2025-04-21,848.96,32,Home
2025-04-22,894.39,31,Home
2025-04-23,1085.76,28,Clothing
2025-04-24,905.86,17,Home
2025-04-25,745.06,22,Electronics
2025-04-26,643.27,16,Office
2025-04-27,621.35,24,Clothing
2025-04-28,814.57,28,Electronics
2025-04-29,829.74,15,Electronics
2025-04-30,812.74,15,Electronics
2025-05-01,824.72,33,Home
2025-05-02,729.54,14,Home
2025-05-03,872.47,20,Office
2025-05-04,849.15,17,Office
2025-05-05,872.88,23,Office
2025-05-06,1050.21,26,Home
2025-05-07,985.33,25,Clothing
2025-05-08,882.82,20,Home
2025-05-09,964.91,33,Clothing
2025-05-10,975.26,38,Office
2025-05-11,890.89,26,Electronics
2025-05-12,1014.68,22,Office
2025-05-13,1036.65,33,Home
2025-05-14,1015.16,22,Office
2025-05-15,988.86,18,Electronics
2025-05-16,965.54,35,Electronics
2025-05-17,691.66,15,Clothing
2025-05-18,825.77,22,Electronics
2025-05-19,806.37,16,Clothing
2025-05-20,876.83,29,Home
2025-05-21,877.66,19,Office
2025-05-22,802.86,16,Office
2025-05-23,777.24,15,Office
2025-05-24,666.47,15,Home
2025-05-25,752.7,19,Electronics
2025-05-26,801.75,18,Electronics
2025-05-27,861.71,17,Home
2025-05-28,839.76,20,Office
2025-05-29,818.8,32,Clothing
2025-05-30,835.39,16,Clothing
2025-05-31,779.78,17,Clothing
2025-06-01,711.83,16,Clothing
2025-06-02,863.68,27,Office
2025-06-03,988.15,22,Home
2025-06-04,859.66,23,Clothing
2025-06-05,965.57,22,Office
2025-06-06,818.71,29,Office
2025-06-07,858.27,19,Electronics
2025-06-08,795.18,14,Home
2025-06-09,801.97,30,Home
2025-06-10,885.72,16,Clothing
2025-06-11,1011.55,27,Office
2025-06-12,973.87,19,Home
2025-06-13,815.2,17,Clothing
2025-06-14,859.96,20,Electronics
2025-06-15,719.37,15,Home
2025-06-16,883.74,17,Electronics
2025-06-17,869.15,23,Office
2025-06-18,911.99,26,Clothing
2025-06-19,897.99,20,Home
2025-06-20,750.71,15,Clothing
2025-06-21,723.81,15,Home
2025-06-22,823.91,17,Clothing
2025-06-23,785.46,21,Clothing
2025-06-24,1063.79,21,Clothing
2025-06-25,951.81,33,Electronics
2025-06-26,1011.68,24,Clothing
2025-06-27,995.86,40,Office
2025-06-28,698.01,20,Home
2025-06-29,711.45,20,Clothing
2025-06-30,880.03,24,Home
2025-07-01,909.94,20,Clothing
2025-07-02,975.82,27,Electronics
2025-07-03,875.41,23,Office
2025-07-04,853.86,27,Office
2025-07-05,800.6,22,Electronics
2025-07-06,914.26,29,Electronics
2025-07-07,934.16,34,Electronics
2025-07-08,1017.13,24,Home
2025-07-09,991.0,22,Home
2025-07-10,940.39,22,Office
2025-07-11,866.57,22,Home
2025-07-12,870.02,24,Home
2025-07-13,830.54,16,Office
2025-07-14,941.21,23,Electronics
2025-07-15,1119.95,28,Clothing
2025-07-16,1049.92,41,Clothing
2025-07-17,913.23,26,Office
2025-07-18,923.64,25,Office
2025-07-19,759.46,21,Clothing
2025-07-20,660.36,16,Electronics
2025-07-21,787.97,19,Electronics
2025-07-22,793.8,18,Electronics
2025-07-23,903.1,19,Clothing
2025-07-24,873.55,18,Electronics
2025-07-25,900.47,19,Office
2025-07-26,763.59,14,Clothing
2025-07-27,747.34,29,Clothing
2025-07-28,889.99,29,Office
2025-07-29,768.95,30,Electronics
2025-07-30,953.46,21,Clothing
2025-07-31,949.19,18,Office
2025-08-01,735.65,23,Electronics
2025-08-02,868.89,16,Electronics
2025-08-03,845.65,32,Clothing
2025-08-04,878.5,17,Office
2025-08-05,1027.76,29,Clothing
2025-08-06,1161.24,41,Clothing
2025-08-07,984.86,25,Office
2025-08-08,1037.31,32,Office
2025-08-09,946.75,28,Home
2025-08-10,940.61,27,Home
2025-08-11,1119.72,23,Home
2025-08-12,1077.72,26,Clothing
2025-08-13,1030.49,30,Office
2025-08-14,939.27,22,Clothing
2025-08-15,914.89,20,Home
2025-08-16,847.04,26,Office
2025-08-17,899.65,24,Office
2025-08-18,858.54,30,Office
2025-08-19,933.75,31,Office
2025-08-20,894.88,20,Electronics
2025-08-21,871.79,29,Office
2025-08-22,839.41,21,Electronics
2025-08-23,809.49,17,Home
2025-08-24,713.87,25,Home
2025-08-25,899.09,21,Office
2025-08-26,1001.74,31,Clothing
2025-08-27,960.89,18,Office
2025-08-28,1012.52,26,Office
2025-08-29,769.33,16,Office
2025-08-30,698.94,17,Office
2025-08-31,691.86,26,Electronics
2025-09-01,986.27,22,Home
2025-09-02,1013.58,19,Home
2025-09-03,996.48,23,Home
2025-09-04,980.78,20,Electronics
2025-09-05,821.58,16,Electronics
2025-09-06,1013.92,32,Home
2025-09-07,887.93,28,Clothing
2025-09-08,962.21,22,Home
2025-09-09,1075.65,29,Home
2025-09-10,1077.82,21,Electronics
2025-09-11,1010.79,19,Office
2025-09-12,862.91,24,Home
2025-09-13,890.34,28,Electronics
2025-09-14,991.72,20,Office
2025-09-15,1018.07,31,Electronics
2025-09-16,1094.37,22,Electronics
2025-09-17,964.2,26,Electronics
2025-09-18,873.52,19,Electronics
2025-09-19,841.04,30,Electronics
2025-09-20,794.44,18,Home
2025-09-21,870.86,23,Clothing
2025-09-22,873.26,20,Office
2025-09-23,1148.15,38,Office
2025-09-24,1053.09,22,Home
2025-09-25,986.46,19,Clothing
2025-09-26,872.18,28,Home
2025-09-27,665.84,24,Electronics
2025-09-28,850.52,33,Office
2025-09-29,880.24,20,Electronics
2025-09-30,871.62,20,Home
2025-10-01,899.44,22,Office
2025-10-02,924.58,29,Clothing
2025-10-03,988.52,27,Home
2025-10-04,825.94,19,Office
2025-10-05,773.27,19,Clothing
2025-10-06,934.99,17,Electronics
2025-10-07,1011.7,35,Home
2025-10-08,877.74,19,Home
2025-10-09,1004.94,27,Home
2025-10-10,917.22,24,Home
2025-10-11,928.33,20,Clothing
2025-10-12,1017.89,22,Office
2025-10-13,1036.39,19,Office
2025-10-14,1009.22,35,Home
2025-10-15,963.69,34,Clothing
2025-10-16,1144.49,24,Clothing
2025-10-17,892.44,21,Clothing
2025-10-18,829.92,25,Electronics
2025-10-19,834.06,30,Office
2025-10-20,908.7,33,Electronics
2025-10-21,947.67,18,Home
2025-10-22,929.45,30,Electronics
2025-10-23,876.6,25,Office
2025-10-24,828.07,26,Office
2025-10-25,744.56,21,Electronics
2025-10-26,751.63,28,Home
2025-10-27,878.26,22,Home
2025-10-28,930.34,34,Home
2025-10-29,1069.25,22,Electronics
2025-10-30,759.39,24,Home
2025-10-31,934.8,23,Clothing
2025-11-01,907.34,18,Electronics
2025-11-02,720.62,16,Electronics
2025-11-03,915.14,22,Home
2025-11-04,994.82,29,Clothing
2025-11-05,955.11,27,Office
2025-11-06,1076.25,24,Office
2025-11-07,983.72,18,Home
2025-11-08,1126.32,25,Office
2025-11-09,1093.63,26,Electronics
2025-11-10,1186.53,25,Office
2025-11-11,1099.53,28,Clothing
2025-11-12,992.77,37,Office
2025-11-13,977.46,23,Clothing
2025-11-14,957.58,18,Office
2025-11-15,788.5,26,Electronics
2025-11-16,921.49,20,Clothing
2025-11-17,919.13,30,Electronics
2025-11-18,969.87,24,Office
2025-11-19,1047.29,38,Electronics
2025-11-20,971.56,25,Electronics
2025-11-21,832.66,17,Home
2025-11-22,875.95,25,Home
2025-11-23,742.8,17,Home
2025-11-24,920.72,19,Office
2025-11-25,989.14,19,Electronics
2025-11-26,949.71,30,Electronics
2025-11-27,946.46,26,Office
2025-11-28,772.08,26,Home
2025-11-29,872.86,16,Office
2025-11-30,827.79,16,Office
2025-12-01,886.97,22,Clothing
2025-12-02,1070.98,21,Office
2025-12-03,986.11,24,Home
2025-12-04,903.13,21,Office
2025-12-05,826.17,30,Home
2025-12-06,927.68,19,Home
2025-12-07,830.54,29,Clothing
2025-12-08,1104.42,22,Home
2025-12-09,929.53,19,Clothing
2025-12-10,1194.36,26,Clothing
2025-12-11,1048.66,40,Clothing
2025-12-12,947.8,28,Clothing
2025-12-13,865.07,26,Home
2025-12-14,936.98,26,Home
2025-12-15,970.5,35,Office
2025-12-16,1105.32,21,Home
2025-12-17,1047.88,25,Office
2025-12-18,990.65,29,Office
2025-12-19,868.38,24,Office
2025-12-20,829.44,22,Home
2025-12-21,981.4,23,Electronics
2025-12-22,912.91,23,Home
2025-12-23,1000.9,19,Electronics
2025-12-24,1150.37,29,Clothing
2025-12-25,1062.85,19,Home
2025-12-26,842.39,17,Electronics
2025-12-27,809.86,26,Electronics
2025-12-28,853.84,16,Office
2025-12-29,873.73,31,Office
2025-12-30,937.5,19,Home
2025-12-31,1028.45,28,Electronics
